collection,iso3_country,event_count,,collection,iso3_country,event_count,,,collection,iso3_country,event_count,,,collection,iso3_country,event_count,,,collection,iso3_country,event_count,,collection,iso3_country,event_count,,collection,iso3_country,event_count,,collection,iso3_country,event_count,,collection,iso3_country,event_count,,collection,iso3_country,event_count
gfd-events,USA,62,,ifrcevent-events,SLE,17,,,glide-events,RUS,113,,,idmc-gidd-events,ARG,149,,,ibtracs-events,UNK,13324,,idmc-idu-events,PHL,574,,pdc-events,GUM,6,,gdacs-events,CAN,464,,emdat-events,LKA,149,,desinventar-events,NER,42740
gfd-events, MEX,20,,ifrcevent-events,AFG,26,,,glide-events,LAO,39,,,idmc-gidd-events,BOL,116,,,ibtracs-events,NAM,1,,idmc-idu-events,MYS,540,,pdc-events,USA,6747,,gdacs-events,COD,1115,,emdat-events,PRT,75,,desinventar-events,VEN,2287
gfd-events,KHM,1,,ifrcevent-events,BOL,35,,,glide-events,NPL,77,,,idmc-gidd-events,MYS,221,,,ibtracs-events,ZAF,1,,idmc-idu-events,MEX,256,,pdc-events,MEX,198,,gdacs-events,JPN,910,,emdat-events,NGA,482,,desinventar-events,ZMB,247
gfd-events, VNM,32,,ifrcevent-events,CPV,8,,,glide-events,GTM,74,,,idmc-gidd-events,ZAF,59,,,ibtracs-events,XYZ,33,,idmc-idu-events,MDG,39,,pdc-events,CHN,747,,gdacs-events,,383,,emdat-events,SYR,56,,desinventar-events,TLS,440
gfd-events, LAO,32,,ifrcevent-events,COG,20,,,glide-events,TWN,50,,,idmc-gidd-events,MOZ,22,,,ibtracs-events,NIC,3,,idmc-idu-events,USA,1131,,pdc-events,PRI,94,,gdacs-events,PHL,427,,emdat-events,AFG,269,,desinventar-events,KEN,3484
gfd-events,BRA,70,,ifrcevent-events,ECU,26,,,glide-events,CHN,502,,,idmc-gidd-events,IDN,1236,,,ibtracs-events,ATG,1,,idmc-idu-events,SDN,218,,pdc-events,IND,306,,gdacs-events,AUS,1818,,emdat-events,NAM,33,,desinventar-events,GHA,2603
gfd-events, BOL,36,,ifrcevent-events,COD,41,,,glide-events,KAZ,28,,,idmc-gidd-events,BDI,399,,,ibtracs-events,USA,15,,idmc-idu-events,VNM,353,,pdc-events,VIR,10,,gdacs-events,USA,1161,,emdat-events,SDN,151,,desinventar-events,PRY,2617
gfd-events, PRY,25,,ifrcevent-events,SOM,20,,,glide-events,MMR,79,,,idmc-gidd-events,COD,105,,,ibtracs-events,CAN,4,,idmc-idu-events,ITA,143,,pdc-events,NGA,42,,gdacs-events,AGO,838,,emdat-events,GIN,74,,desinventar-events,MDG,944
gfd-events, ARG,43,,ifrcevent-events,MMR,31,,,glide-events,IND,275,,,idmc-gidd-events,NPL,504,,,ibtracs-events,MEX,6,,idmc-idu-events,IDN,2633,,pdc-events,GBR,24,,gdacs-events,BOL,426,,emdat-events,IND,1486,,desinventar-events,ALB,1537
gfd-events,MEX,19,,ifrcevent-events,TZA,27,,,glide-events,AFG,131,,,idmc-gidd-events,ESP,114,,,ibtracs-events,DOM,4,,idmc-idu-events,LUX,4,,pdc-events,RUS,492,,gdacs-events,RUS,1664,,emdat-events,VNM,344,,desinventar-events,ARM,7
gfd-events, USA,36,,ifrcevent-events,KGZ,15,,,glide-events,SOM,70,,,idmc-gidd-events,NAM,9,,,ibtracs-events,VCT,1,,idmc-idu-events,CHN,383,,pdc-events,IDN,245,,gdacs-events,IDN,1585,,emdat-events,THA,278,,desinventar-events,SWZ,225
gfd-events,GHA,3,,ifrcevent-events,MYS,14,,,glide-events,PHL,346,,,idmc-gidd-events,PHL,278,,,ibtracs-events,BHS,1,,idmc-idu-events,ARG,220,,pdc-events,ETH,34,,gdacs-events,CHN,613,,emdat-events,MMR,163,,desinventar-events,AGO,279
gfd-events, TGO,9,,ifrcevent-events,ARG,28,,,glide-events,THA,100,,,idmc-gidd-events,VNM,252,,,ibtracs-events,BLZ,1,,idmc-idu-events,BOL,84,,pdc-events,SDN,48,,gdacs-events,CUB,31,,emdat-events,CHN,1967,,desinventar-events,MOZ,7483
gfd-events,IND,48,,ifrcevent-events,CMR,32,,,glide-events,KOR,48,,,idmc-gidd-events,CHL,99,,,ibtracs-events,GTM,1,,idmc-idu-events,JPN,79,,pdc-events,ERI,9,,gdacs-events,THA,210,,emdat-events,BRA,459,,desinventar-events,SYC,22
gfd-events, BGD,101,,ifrcevent-events,BWA,11,,,glide-events,BOL,63,,,idmc-gidd-events,AUS,49,,,ibtracs-events,COL,2,,idmc-idu-events,CAN,224,,pdc-events,ARG,77,,gdacs-events,PNG,303,,emdat-events,MRT,61,,desinventar-events,SOM,303
gfd-events, CHN,19,,ifrcevent-events,ZWE,22,,,glide-events,MKD,23,,,idmc-gidd-events,FJI,7,,,ibtracs-events,SLV,1,,idmc-idu-events,AFG,205,,pdc-events,URY,8,,gdacs-events,TON,242,,emdat-events,BEN,47,,desinventar-events,MWI,155
gfd-events, NPL,65,,ifrcevent-events,UGA,40,,,glide-events,ETH,98,,,idmc-gidd-events,TCD,10,,,ibtracs-events,CUB,4,,idmc-idu-events,AGO,124,,pdc-events,BRA,520,,gdacs-events,TCD,203,,emdat-events,IDN,864,,desinventar-events,MNE,276
gfd-events,NGA,2,,ifrcevent-events,CHL,22,,,glide-events,KGZ,35,,,idmc-gidd-events,CHE,17,,,ibtracs-events,GLP,1,,idmc-idu-events,IND,908,,pdc-events,SVK,9,,gdacs-events,CRI,95,,emdat-events,RUS,399,,desinventar-events,UGA,3403
gfd-events, CMR,22,,ifrcevent-events,GNB,3,,,glide-events,ECU,65,,,idmc-gidd-events,TZA,16,,,ibtracs-events,PRI,1,,idmc-idu-events,MMR,253,,pdc-events,LTU,23,,gdacs-events,BRA,561,,emdat-events,DZA,147,,desinventar-events,ETH,5441
gfd-events,BGD,2,,ifrcevent-events,GHA,22,,,glide-events,LBN,22,,,idmc-gidd-events,IND,777,,,ibtracs-events,TTO,1,,idmc-idu-events,RUS,75,,pdc-events,POL,13,,gdacs-events,ZAF,160,,emdat-events,KOR,200,,desinventar-events,MMR,21579
gfd-events, IND,99,,ifrcevent-events,AGO,13,,,glide-events,MOZ,61,,,idmc-gidd-events,USA,309,,,ibtracs-events,JAM,1,,idmc-idu-events,KOR,70,,pdc-events,PER,45,,gdacs-events,GBR,96,,emdat-events,ITA,283,,desinventar-events,PAN,5054
gfd-events, VEN,17,,ifrcevent-events,ETH,33,,,glide-events,MYS,52,,,idmc-gidd-events,GAB,5,,,ibtracs-events,HTI,1,,idmc-idu-events,ESP,178,,pdc-events,CAN,7258,,gdacs-events,MYS,121,,emdat-events,TWN,188,,desinventar-events,RWA,60
gfd-events, GUY,8,,ifrcevent-events,VUT,13,,,glide-events,IRQ,27,,,idmc-gidd-events,ZMB,35,,,,,,,idmc-idu-events,BGD,87,,pdc-events,AUS,1260,,gdacs-events,ECU,114,,emdat-events,CAF,68,,desinventar-events,NGA,21
gfd-events, COL,16,,ifrcevent-events,GAB,10,,,glide-events,ARG,56,,,idmc-gidd-events,SDN,139,,,,,,,idmc-idu-events,GIN,13,,pdc-events,AGO,301,,gdacs-events,GRC,277,,emdat-events,VEN,117,,desinventar-events,IND,10568
gfd-events,VNM,28,,ifrcevent-events,HND,22,,,glide-events,MDG,68,,,idmc-gidd-events,RUS,32,,,,,,,idmc-idu-events,COD,167,,pdc-events,BOL,364,,gdacs-events,HTI,44,,emdat-events,PER,392,,desinventar-events,CRI,896
gfd-events, KHM,45,,ifrcevent-events,COL,29,,,glide-events,JPN,170,,,idmc-gidd-events,VUT,10,,,,,,,idmc-idu-events,VEN,24,,pdc-events,PRY,18,,gdacs-events,TUR,207,,emdat-events,TUR,378,,desinventar-events,GMB,270
gfd-events,MMR,15,,ifrcevent-events,CRI,25,,,glide-events,REU,4,,,idmc-gidd-events,GRC,114,,,,,,,idmc-idu-events,ECU,132,,pdc-events,CRI,20,,gdacs-events,TKM,11,,emdat-events,CPV,23,,desinventar-events,GNB,77
gfd-events,RUS,40,,ifrcevent-events,PAN,24,,,glide-events,FJI,35,,,idmc-gidd-events,AGO,132,,,,,,,idmc-idu-events,UGA,283,,pdc-events,PAN,21,,gdacs-events,AFG,170,,emdat-events,KEN,194,,desinventar-events,JAM,1218
gfd-events, MNG,12,,ifrcevent-events,PHL,70,,,glide-events,GEO,25,,,idmc-gidd-events,LKA,326,,,,,,,idmc-idu-events,YEM,219,,pdc-events,COL,91,,gdacs-events,TJK,54,,emdat-events,JPN,461,,desinventar-events,COL,41820
gfd-events, KAZ,19,,ifrcevent-events,CUB,14,,,glide-events,BWA,10,,,idmc-gidd-events,RWA,17,,,,,,,idmc-idu-events,KEN,127,,pdc-events,ZMB,54,,gdacs-events,PAK,185,,emdat-events,YEM,106,,desinventar-events,MNG,583
gfd-events, PAK,41,,ifrcevent-events,DZA,22,,,glide-events,IDN,323,,,idmc-gidd-events,COM,3,,,,,,,idmc-idu-events,CAF,80,,pdc-events,COD,163,,gdacs-events,KAZ,157,,emdat-events,GNQ,18,,desinventar-events,GTM,5239
gfd-events,SDN,29,,ifrcevent-events,NPL,26,,,glide-events,UGA,86,,,idmc-gidd-events,NZL,42,,,,,,,idmc-idu-events,GRC,134,,pdc-events,KAZ,47,,gdacs-events,UZB,24,,emdat-events,USA,1522,,desinventar-events,PER,18156
gfd-events, KEN,25,,ifrcevent-events,TCD,24,,,glide-events,MRT,28,,,idmc-gidd-events,AZE,6,,,,,,,idmc-idu-events,TWN,22,,pdc-events,MRT,63,,gdacs-events,IRN,188,,emdat-events,GTM,160,,desinventar-events,ARG,17770
